"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
5.3,0,-180,-25.9518101525697,-18.5976132344569
5.3,0,-178,-21.6645376505484,-18.7812488036665
5.3,0,-176,-18.8411686967624,-18.4874026065826
5.3,0,-174,-16.7558346534548,-17.7925991290634
5.3,0,-172,-15.118276438488,-16.8596536007185
5.3,0,-170,-13.7834137147386,-15.8376153803593
5.3,0,-168,-12.6682969622239,-14.8213286055369
5.3,0,-166,-11.7209983209319,-13.8590544286778
5.3,0,-164,-10.906797011802,-12.9707181836382
5.3,0,-162,-10.2012757662628,-12.1615179257759
5.3,0,-160,-9.58655637817769,-11.4297121105594
5.3,0,-158,-9.04910406601627,-10.7706207545839
5.3,0,-156,-8.57837635374299,-10.1785682221549
5.3,0,-154,-8.16595451610799,-9.6477823459594
5.3,0,-152,-7.80496463770638,-9.17278089603096
5.3,0,-150,-7.48967980252709,-8.74851170879887
5.3,0,-148,-7.21523963319386,-8.37037793312627
5.3,0,-146,-6.97744822561797,-8.03421277910608
5.3,0,-144,-6.77262589289829,-7.73623498071568
5.3,0,-142,-6.59749874946261,-7.47299976536896
5.3,0,-140,-6.44911549789818,-7.24135200042957
5.3,0,-138,-6.32478417110172,-7.03838419445031
5.3,0,-136,-6.22202379101946,-6.86140010755148
5.3,0,-134,-6.13852737538108,-6.70788384079954
5.3,0,-132,-6.07213372112459,-6.57547390914329
5.3,0,-130,-6.02080608099519,-6.46194169235364
5.3,0,-128,-5.98261633077015,-6.36517366866457
5.3,0,-126,-5.95573356460642,-6.28315689755453
5.3,0,-124,-5.93841629822422,-6.21396729635399
5.3,0,-122,-5.92900763274864,-6.15576033262775
5.3,0,-120,-5.92593285555931,-6.10676382214369
5.3,0,-118,-5.92769904202801,-6.06527257704307
5.3,0,-116,-5.93289628326952,-6.02964468947701
5.3,0,-114,-5.94020020717588,-5.9982992628573
5.3,0,-112,-5.9483754885664,-5.96971541733111
5.3,0,-110,-5.95628006367467,-5.94243240017528
5.3,0,-108,-5.96286977805164,-5.91505062812188
5.3,0,-106,-5.96720320836179,-5.88623348021562
5.3,0,-104,-5.96844641008375,-5.85470964999215
5.3,0,-102,-5.96587735693481,-5.81927585797306
5.3,0,-100,-5.95888985558244,-5.77879972295493
5.3,0,-98,-5.94699674201578,-5.73222259613801
5.3,0,-96,-5.92983219438202,-5.67856217786168
5.3,0,-94,-5.90715303109028,-5.61691476363381
5.3,0,-92,-5.87883890188335,-5.54645700407147
5.3,0,-90,-5.84489132214905,-5.46644711077256
5.3,0,-88,-5.80543154530088,-5.37622549414344
5.3,0,-86,-5.76069731260245,-5.27521487577693
5.3,0,-84,-5.71103856222381,-5.1629199722098
5.3,0,-82,-5.65691221755984,-5.03892689346423
5.3,0,-80,-5.59887620716116,-4.90290243347275
5.3,0,-78,-5.53758289372166,-4.75459344575321
5.3,0,-76,-5.47377210670368,-4.59382649323425
5.3,0,-74,-5.40826398225006,-4.42050793436778
5.3,0,-72,-5.34195181552818,-4.23462455916331
5.3,0,-70,-5.27579512560192,-4.03624482143066
5.3,0,-68,-5.21081312277261,-3.82552063253019
5.3,0,-66,-5.14807875477993,-3.60268959453942
5.3,0,-64,-5.0887134931438,-3.36807746565152
5.3,0,-62,-5.03388300609846,-3.12210057713713
5.3,0,-60,-4.9847938517746,-2.865267868191
5.3,0,-58,-4.94269131615411,-2.5981821797132
5.3,0,-56,-4.9088585163672,-2.32154045510932
5.3,0,-54,-4.88461689258513,-2.03613253660285
5.3,0,-52,-4.87132822260872,-1.74283831652278
5.3,0,-50,-4.87039831402447,-1.44262309808101
5.3,0,-48,-4.88328256172353,-1.13653112991814
5.3,0,-46,-4.91149360665492,-0.825677392180341
5.3,0,-44,-4.95661139909438,-0.511237817990145
5.3,0,-42,-5.02029606238613,-0.194438223170791
5.3,0,-40,-5.10430407953377,0.12345771815579
5.3,0,-38,-5.21050849739233,0.441161077790178
5.3,0,-36,-5.34092407927343,0.757370474973297
5.3,0,-34,-5.49773866252586,1.07078471029042
5.3,0,-32,-5.68335243174415,1.38011490557596
5.3,0,-30,-5.90042745899502,1.68409587666508
5.3,0,-28,-6.15195077933228,1.98149652723931
5.3,0,-26,-6.44131560286099,2.27112911553433
5.3,0,-24,-6.77242723716818,2.55185730631871
5.3,0,-22,-7.14984327081297,2.8226029746547
5.3,0,-20,-7.57896215971753,3.08235177325615
5.3,0,-18,-8.06628161075814,3.33015751076575
5.3,0,-16,-8.61975991980148,3.56514541401316
5.3,0,-14,-9.24933306260369,3.78651436405351
5.3,0,-12,-9.96767419413263,3.99353820475324
5.3,0,-10,-10.7913426230447,4.18556622534032
5.3,0,-8,-11.7425811003883,4.36202291616633
5.3,0,-6,-12.8522344367426,4.52240709134982
5.3,0,-4,-14.1646830055519,4.66629046423702
5.3,0,-2,-15.7464944495613,4.79331575278717
5.3,0,0,-17.7017205816939,4.90319438292049
5.3,0,2,-20.1949065637858,4.99570384922213
5.3,0,4,-23.4319076248701,5.0706847846627
5.3,0,6,-26.9579574533573,5.12803778450738
5.3,0,8,-26.865656543255,5.16772002453574
5.3,0,10,-23.2920683892259,5.1897417101542
5.3,0,12,-20.0565150322469,5.19416239091521
5.3,0,14,-17.55986191464,5.18108717422428
5.3,0,16,-15.5946606533766,5.15066287239472
5.3,0,18,-13.9982837729385,5.10307411840275
5.3,0,20,-12.6679321869114,5.03853948735068
5.3,0,22,-11.5377160039516,4.95730766237416
5.3,0,24,-10.5636035683893,4.85965368513885
5.3,0,26,-9.71491586827861,4.74587533178675
5.3,0,28,-8.96947202748159,4.61628965489638
5.3,0,30,-8.31071402321266,4.47122973047871
5.3,0,32,-7.72593407534996,4.3110416461216
5.3,0,34,-7.20514035597998,4.13608176213263
5.3,0,36,-6.74030667321879,3.94671427207416
5.3,0,38,-6.32486148310888,3.74330908274587
5.3,0,40,-5.95333093474027,3.52624002690329
5.3,0,42,-5.6210839467944,3.2958834153857
5.3,0,44,-5.32414664028826,3.05261692954488
5.3,0,46,-5.05906503022176,2.79681885066857
5.3,0,48,-4.82280201577287,2.5288676212717
5.3,0,50,-4.61265922290958,2.24914173447914
5.3,0,52,-4.42621717557044,1.95801995302284
5.3,0,54,-4.26128920315602,1.65588186935031
5.3,0,56,-4.11588579302439,1.34310883364833
5.3,0,58,-3.98818698789174,1.0200852977962
5.3,0,60,-3.87652104808615,0.687200650826874
5.3,0,62,-3.77934803622987,0.344851655692419
5.3,0,64,-3.69524729504717,-0.00655436192528141
5.3,0,66,-3.62290801606321,-0.366595374608256
5.3,0,68,-3.56112226391578,-0.734829312769762
