"bb [mm]","Freq [GHz]","dB(S(2,1)) []"
21,5.2,-20.0666857746672
21,5.22,-19.9640349851709
21,5.24,-19.9072571543722
21,5.26,-19.9014218247866
21,5.28,-19.9502061920504
21,5.3,-20.0556014689222
21,5.32,-20.2178306322972
21,5.34,-20.4354867655882
21,5.36,-20.7058145770364
21,5.38,-21.0249878562784
21,5.4,-21.3882039378758
21,5.42,-21.7894176450728
21,5.44,-22.2205524633982
21,5.46,-22.6700517445467
21,5.48,-23.1207150036301
21,5.5,-23.547040940238
21,5.52,-23.9129954188531
21,5.54,-24.1723358308698
21,5.56,-24.2745982623346
21,5.58,-24.1782568248192
21,5.6,-23.8665658362672
21,5.62,-23.3557603743525
21,5.64,-22.6889581563849
21,5.66,-21.9206944738666
21,5.68,-21.1026405812196
21,5.7,-20.2762412493956
21,5.72,-19.4714793552642
21,5.74,-18.7086812399334
21,5.76,-18.0010340087481
21,5.78,-17.356763474021
21,5.8,-16.7807171041866
21,5.82,-16.2754224833111
21,5.84,-15.8417709473813
21,5.86,-15.4794615319202
21,5.88,-15.1873027963953
21,5.9,-14.9634348700828
21,5.92,-14.8055077294151
21,5.94,-14.710834289058
21,5.96,-14.6765265517553
21,5.98,-14.6996177313314
21,6,-14.7771710871162
21,6.02,-14.9063757363475
21,6.04,-15.0846299308297
21,6.06,-15.3096125725089
21,6.08,-15.5793437517441
21,6.1,-15.8922346157939
21,6.12,-16.2471256970256
21,6.14,-16.6433105830327
21,6.16,-17.0805377830984
21,6.18,-17.5589765157651
21,6.2,-18.079119519651
21,6.22,-18.6415736755346
21,6.24,-19.2466501707272
21,6.26,-19.8935994194607
21,6.28,-20.5792297282534
21,6.3,-21.2955040925806
21,6.32,-22.0255991505173
21,6.34,-22.7381415388889
21,6.36,-23.3807442823272
21,6.38,-23.8777904077951
21,6.4,-24.1425293769689
21,6.42,-24.1102578968531
21,6.44,-23.776450355309
21,6.46,-23.204632310272
21,6.48,-22.4955038550737
21,6.5,-21.7484886794099
21,6.52,-21.0414550189571
21,6.54,-20.4276373921838
21,6.56,-19.939229149786
21,6.58,-19.59133612677
21,6.6,-19.3850300818926
21,6.62,-19.3103432220376
21,6.64,-19.3500737909561
21,6.66,-19.4845294388596
21,6.68,-19.6966303122202
21,6.7,-19.9764172947325
21,6.72,-20.3239675195407
21,6.74,-20.7500145367304
21,6.76,-21.2742076736331
21,6.78,-21.9217189923535
