"bb_c [mm]","Freq [GHz]","dB(S(2,1)) []"
1.5,4.88,-21.4836382361829
1.5,4.92,-21.1178190361584
1.5,4.96,-20.7346895014801
1.5,5,-20.3573085989508
1.5,5.04,-20.0136490665452
1.5,5.08,-19.7366008253147
1.5,5.12,-19.5622300300392
1.5,5.16,-19.5246301337322
1.5,5.2,-19.6457182620693
1.5,5.24,-19.9216457505762
1.5,5.28,-20.3166417261045
1.5,5.32,-20.7807360869643
1.5,5.36,-21.2859869922975
1.5,5.4,-21.8415503732251
1.5,5.44,-22.4628067656985
1.5,5.48,-23.1089797473236
1.5,5.52,-23.6046617955205
1.5,5.56,-23.6068143316127
1.5,5.6,-22.817758984842
1.5,5.64,-21.3441463963833
1.5,5.68,-19.5876737987665
1.5,5.72,-17.8811688142388
1.5,5.76,-16.3943942111034
1.5,5.8,-15.1946967718971
1.5,5.84,-14.2998447053806
1.5,5.88,-13.7032329618031
1.5,5.92,-13.3854259095351
1.5,5.96,-13.3208135230704
1.5,6,-13.482325651762
1.5,6.04,-13.8448754117277
1.5,6.08,-14.38777589608
1.5,6.12,-15.0963852936386
1.5,6.16,-15.9631209154161
1.5,6.2,-16.9875341330656
1.5,6.24,-18.173854599433
1.5,6.28,-19.5205929733877
1.5,6.32,-20.9860737443093
1.5,6.36,-22.3945913516651
1.5,6.4,-23.2942146822297
1.5,6.44,-23.1382006794448
1.5,6.48,-22.0341866588873
1.5,6.52,-20.6924183454161
1.5,6.56,-19.6697087545818
1.5,6.6,-19.1829436985273
1.5,6.64,-19.2103417305699
1.5,6.68,-19.6245104736557
1.5,6.72,-20.3477689829351
1.5,6.76,-21.4496802577289
1.5,6.8,-23.1159577183529
1.5,6.84,-25.5351852262771
1.5,6.88,-28.7490166433633
1.5,6.92,-32.1443938758889
1.5,6.96,-33.559066569113
1.5,7,-32.5646482183788
1.5,7.04,-31.285243473135
1.5,7.08,-30.4625326011904
1.5,7.12,-30.0934013797991
1.5,7.16,-30.0838247150079
1.5,7.2,-30.3623577983219
2,4.8,-20.4559582409925
2,4.84,-20.0866383704121
2,4.88,-19.6933708609563
2,4.92,-19.2944535162945
2,4.96,-18.9124664244338
2,5,-18.575620773316
2,5.04,-18.318979253845
2,5.08,-18.1849290655775
2,5.12,-18.2213788172179
2,5.16,-18.4743827140172
2,5.2,-18.9697510023189
2,5.24,-19.6804661895126
