"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
4.8,-2.48944393057223,-11.0152752578815
4.82,-2.67283879640481,-10.7736496690529
4.84,-2.87148315503961,-10.540472336458
4.86,-3.08665833806884,-10.3169139806616
4.88,-3.31977204699912,-10.1042574507465
4.9,-3.57238989975068,-9.90390818167575
4.92,-3.84628158727328,-9.71740777174358
4.94,-4.1434878586527,-9.54645206938971
4.96,-4.46641672495082,-9.39291555465101
4.98,-4.81798006582994,-9.25888421445919
5,-5.20178540122999,-9.14669949008848
5.02,-5.62240217302315,-9.05901612101153
5.04,-6.08572776638334,-8.99887665795961
5.06,-6.59948602301992,-8.96980479874517
5.08,-7.17390023468832,-8.97591809083309
5.1,-7.82259206909898,-9.02205731350277
5.12,-8.56375959811933,-9.11392412662515
5.14,-9.42164906998901,-9.25820928247735
5.16,-10.4281321510487,-9.46267979690983
5.18,-11.6233582454939,-9.73617447733228
5.2,-13.051111511667,-10.0884340240701
5.22,-14.7314532961668,-10.5296676954152
5.24,-16.5484296862795,-11.0697382624666
5.26,-17.9387923363944,-11.7168343488675
5.28,-17.8576086097079,-12.4754904409834
5.3,-16.2541690807096,-13.3437969385163
5.32,-14.1778512988062,-14.3096198863405
5.34,-12.2457786666563,-15.3457396252917
5.36,-10.5987573185654,-16.4044339271878
5.38,-9.22435293926193,-17.4139526070604
5.4,-8.07973068395295,-18.2827017660909
5.42,-7.1227010654485,-18.9180109183119
5.44,-6.3178986676959,-19.2566723365731
5.46,-5.63703696639117,-19.2866407740722
5.48,-5.05796095938741,-19.0404751761737
5.5,-4.56361327323728,-18.5693278290901
5.52,-4.14113892433207,-17.9218219292201
5.54,-3.78113990404765,-17.1380372852571
5.56,-3.47704190267132,-16.2526625184151
5.58,-3.22452536942796,-15.2989695222683
5.6,-3.02097377786484,-14.3099833812616
5.62,-2.86490075859252,-13.3172674482295
5.64,-2.75533753706564,-12.3490089893518
5.66,-2.69119412563281,-11.4285748010111
5.68,-2.67064713708304,-10.5738576994191
5.7,-2.69064097390923,-9.79726537249484
5.72,-2.74659978425001,-9.10611869265947
5.74,-2.8324220817225,-8.50329901849627
5.76,-2.94077104228351,-7.98805150083794
5.78,-3.06360218141599,-7.55687060212414
5.8,-3.19281529169688,-7.20438710575069
5.82,-3.32089951443378,-6.92417456145723
5.84,-3.44146086755548,-6.70941118379862
5.86,-3.54956612739867,-6.55336538238005
5.88,-3.64188619686092,-6.44970630454306
5.9,-3.7166612039267,-6.39266483738057
5.92,-3.77353225973764,-6.37708209677801
5.94,-3.81329183186443,-6.39838350815352
5.96,-3.83760049741528,-6.45251124758014
5.98,-3.84870759258764,-6.53583986248009
6,-3.84920118108765,-6.64509186282256
6.02,-3.84180154017467,-6.77726324982198
6.04,-3.82920336025813,-6.92956375046972
6.06,-3.8139654490655,-7.09937290966817
6.08,-3.79844273265213,-7.28421091951634
6.1,-3.78475330531269,-7.48172184798043
6.12,-3.77477268065792,-7.68966649218223
6.14,-3.7701477562465,-7.90592218397189
6.16,-3.77232391781252,-8.12848732015802
6.18,-3.78257986143289,-8.35548902369515
6.2,-3.80206586993378,-8.58519305828234
6.22,-3.83184228438097,-8.81601585018262
6.24,-3.87291565624324,-9.04653918935016
6.26,-3.92627048388013,-9.27552888134769
6.28,-3.99289448517815,-9.50195930875197
6.3,-4.07379502109261,-9.7250465233692
6.32,-4.17000360441011,-9.94429305419589
6.34,-4.28256460158363,-10.1595478582293
6.36,-4.41250384255473,-10.3710842380607
6.38,-4.56077431235998,-10.5796960246772
6.4,-4.72818245293313,-10.7868058879532
6.42,-4.91531550945643,-10.9945660984724
6.44,-5.12252625750759,-11.205907432141
6.46,-5.35009369937982,-11.4244542185708
6.48,-5.59875894990379,-11.6541811804215
6.5,-5.87088316060916,-11.8986754047308
6.52,-6.17237579816156,-12.1599595473069
6.54,-6.5151940761069,-12.4371171911053
6.56,-6.91975445184971,-12.725406131347
6.58,-7.41656759111387,-13.0168150997528
6.6,-8.04734773861968,-13.3025750697203
6.62,-8.86750438897538,-13.5769115034747
6.64,-9.953563739947,-13.8402708486962
6.66,-11.4214034842187,-14.100486960263
6.68,-13.468736695336,-14.3716484520398
6.7,-16.4798331523309,-14.671482131879
6.72,-21.2164055076962,-15.018189897464
6.74,-25.2688495831061,-15.427325994567
6.76,-19.6767645180808,-15.9091321434549
6.78,-14.9837372302489,-16.466835256497
6.8,-11.8578675172021,-17.0963807998933
6.82,-9.61910761294877,-17.7876621727138
6.84,-7.93450904698803,-18.5267152195391
6.86,-6.62725888555127,-19.2980297445097
6.88,-5.59172752789865,-20.086291590093
6.9,-4.75914028969648,-20.8773044955198
6.92,-4.08201070990594,-21.6582208952405
6.94,-3.52620336456543,-22.4173762000028
6.96,-3.0664669576998,-23.1440092242537
6.98,-2.6837203077375,-23.8280651155009
7,-2.36330610263785,-24.4601863895929
7.02,-2.09381776813388,-25.0319228560744
7.04,-1.86628456759338,-25.5361275488018
7.06,-1.67359034713531,-25.9674491972149
7.08,-1.51005003747042,-26.3227909855637
7.1,-1.37109577480938,-26.6015981720215
7.12,-1.25304103031855,-26.8058755869496
7.14,-1.15290136045373,-26.9399115356485
7.16,-1.06825693204173,-27.009767343926
7.18,-0.997146289663371,-27.0226472700459
7.2,-0.937983750985306,-26.986273681903
