"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
6.7,0,-86,-2.42958367932324,-3.90383994369241
6.7,0,-84,-2.38189412339799,-3.25790618297896
6.7,0,-82,-2.33610234645435,-2.64629794470248
6.7,0,-80,-2.29236700818397,-2.06590456629654
6.7,0,-78,-2.25092675331377,-1.51402114310804
6.7,0,-76,-2.21209606875815,-0.988327233212723
6.7,0,-74,-2.17626082642208,-0.486854468818039
6.7,0,-72,-2.14387360805821,-0.00795070772628009
6.7,0,-70,-2.115448931492,0.449755466473937
6.7,0,-68,-2.09155851659225,0.887388099182714
6.7,0,-66,-2.07282674391706,1.30585432561979
6.7,0,-64,-2.05992646852732,1.70587172287868
6.7,0,-62,-2.05357535568793,2.0879926016027
6.7,0,-60,-2.05453290379843,2.45262540889397
6.7,0,-58,-2.06359831267098,2.80005346785735
6.7,0,-56,-2.08160934199082,3.13045130130762
6.7,0,-54,-2.10944228532527,3.44389879727879
6.7,0,-52,-2.14801315947683,3.74039348164703
6.7,0,-50,-2.19828017780116,4.01986117233513
6.7,0,-48,-2.26124754048088,4.28216530097564
6.7,0,-46,-2.33797053671315,4.52711520061438
6.7,0,-44,-2.42956191647648,4.75447367024206
6.7,0,-42,-2.53719945730288,4.96396413658517
6.7,0,-40,-2.66213462967352,5.15527773873951
6.7,0,-38,-2.80570225941845,5.32808066038243
6.7,0,-36,-2.96933110322629,5.48202202655571
6.7,0,-34,-3.15455530005861,5.61674266715661
6.7,0,-32,-3.36302674183036,5.73188502772186
6.7,0,-30,-3.59652852436647,5.8271044806652
6.7,0,-28,-3.85698979539125,5.90208225768383
6.7,0,-26,-4.14650250862106,5.95654018691574
6.7,0,-24,-4.46734081739342,5.99025737572224
6.7,0,-22,-4.82198408903613,6.00308892879161
6.7,0,-20,-5.21314477661776,5.99498672587929
6.7,0,-18,-5.64380261776768,5.96602219460946
6.7,0,-16,-6.11724678043828,5.91641088800222
6.7,0,-14,-6.63712751738015,5.8465384964105
6.7,0,-12,-7.20751836132008,5.7569876690777
6.7,0,-10,-7.83298833530471,5.64856467107087
6.7,0,-8,-8.51867988724321,5.52232444143775
6.7,0,-6,-9.27037975967998,5.37959204634789
6.7,0,-4,-10.094551317733,5.22197786156864
6.7,0,-2,-10.9982560574679,5.05138313984366
6.7,0,0,-11.9888029052786,4.86999204885426
6.7,0,2,-13.0727694323425,4.68024600401378
6.7,0,4,-14.253620689187,4.48479643090832
6.7,0,6,-15.5262994402043,4.28643326103952
6.7,0,8,-16.8657115143224,4.0879887127281
6.7,0,10,-18.2050140343372,3.89221926052181
6.7,0,12,-19.405848562205,3.70167283569691
6.7,0,14,-20.25354093298,3.5185524915454
6.7,0,16,-20.5498086689524,3.34459092476735
6.7,0,18,-20.2767989744261,3.1809512123971
6.7,0,20,-19.6144943722937,3.02816711489939
6.7,0,22,-18.7834574053925,2.88613131411289
6.7,0,24,-17.9340529741735,2.75413295959062
6.7,0,26,-17.1413596586582,2.63093856073666
6.7,0,28,-16.4345247048232,2.51490438399832
6.7,0,30,-15.8202225450115,2.40410537145983
6.7,0,32,-15.2954725642625,2.29646555116579
6.7,0,34,-14.8537444977642,2.18987742573659
6.7,0,36,-14.4876745238611,2.08230182649667
6.7,0,38,-14.1901996807123,1.9718440445821
6.7,0,40,-13.954979458918,1.85680580678504
6.7,0,42,-13.7765052218391,1.73571537714108
6.7,0,44,-13.6500795179368,1.6073396432238
6.7,0,46,-13.5717471789367,1.47068265040025
6.7,0,48,-13.5382143248164,1.32497495186829
6.7,0,50,-13.5467705159738,1.16965762742981
6.7,0,52,-13.5952198717573,1.00436411844727
6.7,0,54,-13.6818228673123,0.828902289105006
6.7,0,56,-13.8052488853139,0.643238448999026
6.7,0,58,-13.9645391077256,0.447484503624308
6.7,0,60,-14.1590793629216,0.241888948554316
6.7,0,62,-14.3885828087739,0.02683208086773
6.7,0,64,-14.6530827106518,-0.197174452689776
6.7,0,66,-14.9529360277601,-0.429483843574499
6.7,0,68,-15.2888390638812,-0.669306278414148
6.7,0,70,-15.6618571162207,-0.915697458957475
6.7,0,72,-16.0734709489387,-1.16754407485124
6.7,0,74,-16.5256441480854,-1.42354708612187
6.7,0,76,-17.0209171645312,-1.68220404483842
6.7,0,78,-17.5625363966391,-1.94179219097334
6.7,0,80,-18.1546304255334,-2.20035470588403
6.7,0,82,-18.802451136507,-2.45569327456162
6.7,0,84,-19.5127059079947,-2.70537091631725
6.7,0,86,-20.2940196910628,-2.94672973601941
6.7,0,88,-21.1575842115458,-3.17692857303311
6.7,0,90,-22.1180760548921,-3.39300514471676
6.7,0,92,-23.1949486979168,-3.59196582512913
6.7,0,94,-24.4141839774317,-3.77090338300733
6.7,0,96,-25.8103404774215,-3.92713880765472
6.7,0,98,-27.427461498824,-4.05837821687232
6.7,0,100,-29.311604526305,-4.16287076571203
6.7,0,102,-31.4623702668754,-4.23954989536569
6.7,0,104,-33.6213747488807,-4.28813964334153
6.7,0,106,-34.7949403243642,-4.30921096252404
6.7,0,108,-33.9305471675867,-4.3041798315837
6.7,0,110,-31.853993374824,-4.27524789965557
6.7,0,112,-29.6864662507145,-4.22529521390035
6.7,0,114,-27.7701921825189,-4.15774100659129
6.7,0,116,-26.1251854817537,-4.07639122872165
6.7,0,118,-24.7073784977772,-3.98529043316243
6.7,0,120,-23.4714054795078,-3.88859172668733
6.7,0,122,-22.381245613048,-3.79045332699972
6.7,0,124,-21.4098992779018,-3.69496518623433
6.7,0,126,-20.5373708681389,-3.60610511647701
6.7,0,128,-19.7488502767999,-3.52772126089816
6.7,0,130,-19.0333523731465,-3.46353654511819
6.7,0,132,-18.382744778434,-3.41717062594337
6.7,0,134,-17.7910576512002,-3.39217547184758
6.7,0,136,-17.253990295603,-3.39208175177742
6.7,0,138,-16.7685548246743,-3.42045446372016
6.7,0,140,-16.3328167465687,-3.48095759621741
6.7,0,142,-15.9457059995808,-3.57742907626386
6.7,0,144,-15.6068811993982,-3.71396889536774
6.7,0,146,-15.3166361440202,-3.8950452920547
6.7,0,148,-15.0758420306941,-4.12562648925836
6.7,0,150,-14.8859221394443,-4.41134920054762
6.7,0,152,-14.7488584892927,-4.75874068938742
6.7,0,154,-14.6672326352156,-5.17551987954503
6.7,0,156,-14.6443057982963,-5.67101713422504
6.7,0,158,-14.6841474559951,-6.25677594503332
6.7,0,160,-14.791827148092,-6.94744054909281
6.7,0,162,-14.9736928256392,-7.76210605471368
6.7,0,164,-15.2377727025681,-8.72644028259183
6.7,0,166,-15.5943599918781,-9.87613216116509
6.7,0,168,-16.0568778456633,-11.2626610576925
6.7,0,170,-16.6431874774984,-12.9629904452396
6.7,0,172,-17.3776172974486,-15.0940719940629
6.7,0,174,-18.294187071052,-17.8156050863742
6.7,0,176,-19.4417893522124,-21.1266949485159
6.7,0,178,-20.8921814269467,-23.3025023927332
6.7,0,180,-22.7489228669606,-21.3086610733856
6.7,90.0000000000002,-180,-21.3086610733856,-22.7489228669606
6.7,90.0000000000002,-178,-20.3770788915911,-21.8876902596543
6.7,90.0000000000002,-176,-19.4948668014486,-20.7073938888136
6.7,90.0000000000002,-174,-18.6581537990986,-19.4596188164078
6.7,90.0000000000002,-172,-17.8633990399957,-18.2731386509421
6.7,90.0000000000002,-170,-17.1074258867845,-17.1961043203024
6.7,90.0000000000002,-168,-16.3874174990306,-16.2389683704021
6.7,90.0000000000002,-166,-15.7008897744331,-15.3973065524028
6.7,90.0000000000002,-164,-15.0456516107499,-14.6618190410579
6.7,90.0000000000002,-162,-14.4197591254222,-14.0223363542912
6.7,90.0000000000002,-160,-13.8214684741612,-13.46928250122
6.7,90.0000000000002,-158,-13.2491906182164,-12.9941049071613
6.7,90.0000000000002,-156,-12.7014504644027,-12.589302920092
6.7,90.0000000000002,-154,-12.1768520659188,-12.2483151336153
6.7,90.0000000000002,-152,-11.6740509382977,-11.9653706683881
6.7,90.0000000000002,-150,-11.1917339746791,-11.7353448484187
6.7,90.0000000000002,-148,-10.7286069254956,-11.5536328196392
6.7,90.0000000000002,-146,-10.2833889418259,-11.416043718504
6.7,90.0000000000002,-144,-9.85481328016729,-11.3187138125398
6.7,90.0000000000002,-142,-9.44163294570424,-11.2580356869556
6.7,90.0000000000002,-140,-9.04262983003691,-11.2306003619723
6.7,90.0000000000002,-138,-8.65662579493705,-11.2331494778491
6.7,90.0000000000002,-136,-8.28249417687326,-11.2625350823834
6.7,90.0000000000002,-134,-7.91917033775562,-11.3156849874722
6.7,90.0000000000002,-132,-7.56566015140225,-11.3895720967559
6.7,90.0000000000002,-130,-7.22104566369637,-11.4811865497863
6.7,90.0000000000002,-128,-6.8844875564105,-11.5875099975403
6.7,90.0000000000002,-126,-6.5552244332965,-11.7054918402657
6.7,90.0000000000002,-124,-6.23256928701625,-11.8320278381885
6.7,90.0000000000002,-122,-5.91590376083376,-11.9639421536112
6.7,90.0000000000002,-120,-5.60467096859955,-12.0979745838136
6.7,90.0000000000002,-118,-5.29836767649701,-12.2307754498834
6.7,90.0000000000002,-116,-4.99653659223405,-12.3589112238864
