"Freq [GHz]","ECC []"
4.8,0.0395658322555932
4.82,0.0426613796363852
4.84,0.0452684674144905
4.86,0.0473381864834584
4.88,0.0488274514244227
4.9,0.0496987511107681
4.92,0.0499207178116795
4.94,0.0494695821974812
4.96,0.0483315786825708
4.98,0.0465063295457289
5,0.0440111467493354
5.02,0.0408860218589122
5.04,0.0371988021416573
5.06,0.0330496647475342
5.08,0.0285735322802622
5.1,0.0239386344489431
5.12,0.019339245375651
5.14,0.0149810732092443
5.16,0.0110592339670369
5.18,0.00773135279145557
5.2,0.0050916063768091
5.22,0.00315401401321883
5.24,0.00185292912359038
5.26,0.00106402616213879
5.28,0.000641010011091046
5.3,0.000455636075541346
5.32,0.00042625560228301
5.34,0.000525139347314009
5.36,0.000764577946194394
5.38,0.00117047034143151
5.4,0.00175533651649053
5.42,0.00250006429523026
5.44,0.00334816794764856
5.46,0.00421134067580082
5.48,0.00498246206782833
5.5,0.00555194955323684
5.52,0.00582441328643795
5.54,0.00573392430759974
5.56,0.0052571592826215
5.58,0.0044239680825112
5.6,0.00332450719485935
5.62,0.00211112328803148
5.64,0.00099194074234649
5.66,0.000212161788618094
5.68,1.94089002595246e-05
5.7,0.000612392997164925
5.72,0.00207893076004257
5.74,0.00433932113172115
5.76,0.00712017543618281
5.78,0.00998391395607414
5.8,0.012422675442193
5.82,0.0139941469706213
5.84,0.0144477916867262
5.86,0.0137864810022615
5.88,0.012238880111799
5.9,0.0101631380634799
5.92,0.00793131062239315
5.94,0.00584084442102985
5.96,0.00407434862916981
5.98,0.00270285516888288
6,0.00171434986687517
6.02,0.00104912239236726
6.04,0.000630051474150488
6.06,0.000383151884703114
6.08,0.000248572412906911
6.1,0.000184424595577152
6.12,0.000166184970012929
6.14,0.000183900711305771
6.16,0.000238685609455827
6.18,0.000339338266563466
6.2,0.000499446886535734
6.22,0.000735056274000971
6.24,0.00106281610370279
6.26,0.00149845620278378
6.28,0.00205540636954301
6.3,0.00274337041354441
6.32,0.00356666444457582
6.34,0.00452213785985535
6.36,0.00559652616612482
6.38,0.00676317192221567
6.4,0.0079782559128868
6.42,0.00917709810287531
6.44,0.0102718156584392
6.46,0.011152667964802
6.48,0.0116964518260331
6.5,0.0117853369640193
6.52,0.0113368015847182
6.54,0.0103384509366821
6.56,0.00887245122039356
6.58,0.00711093829999118
6.6,0.00527518545721123
6.62,0.00357469664245982
6.64,0.00215788975409563
6.66,0.00109679575491433
6.68,0.000403102658061177
6.7,5.57782683148721e-05
6.72,2.16902157903009e-05
6.74,0.000261768187944547
6.76,0.000725543965731512
6.78,0.00134253053366845
6.8,0.00201984011814122
6.82,0.0026516534056225
6.84,0.00313884632585222
6.86,0.00341049463583532
6.88,0.00343772006225847
6.9,0.00323492303728871
6.92,0.00284994173036254
6.94,0.00234874724556817
6.96,0.00180052915903874
6.98,0.0012668124582528
7,0.000795633549459901
7.02,0.00042003225139891
7.04,0.000159412173506957
7.06,2.23579821245582e-05
7.08,9.86277421326057e-06
7.1,0.000118328866155352
7.12,0.000342030305710882
7.14,0.000674936609996844
7.16,0.00111191325685725
7.18,0.00164936680024804
7.2,0.00228541964827768
