"gx1 [mm]","Freq [GHz]","dB(S(1,1)) []"
1.6,6.08,-2.12293548000941
1.6,6.1,-2.21411431999045
1.6,6.12,-2.30735270099484
1.6,6.14,-2.40315848633249
1.6,6.16,-2.50223799320923
1.6,6.18,-2.60547541161506
1.6,6.2,-2.71391977787201
1.6,6.22,-2.82878019875459
1.6,6.24,-2.95142927934917
1.6,6.26,-3.083414156013
1.6,6.28,-3.22647401848223
1.6,6.3,-3.38256232129888
1.6,6.32,-3.55387078378489
1.6,6.34,-3.74285044613598
1.6,6.36,-3.95222212458918
1.6,6.38,-4.18496427760678
1.6,6.4,-4.44426060582705
1.6,6.42,-4.73338383517898
1.6,6.44,-5.05548989555546
1.6,6.46,-5.41330692963778
1.6,6.48,-5.8087420248562
1.6,6.5,-6.24251471245686
1.6,6.52,-6.7140647098156
1.6,6.54,-7.22212028053746
1.6,6.56,-7.76630640554799
1.6,6.58,-8.34983867707536
1.6,6.6,-8.98272223676887
1.6,6.62,-9.68442471397138
1.6,6.64,-10.4853100266568
1.6,6.66,-11.4271074537184
1.6,6.68,-12.5632579043684
1.6,6.7,-13.9582536157671
1.6,6.72,-15.6755400921299
1.6,6.74,-17.7002695754039
1.6,6.76,-19.5970218574866
1.6,6.78,-19.9768907177182
1.6,6.8,-18.2102788831109
1.6,6.82,-15.7287069009569
1.6,6.84,-13.4435894067472
1.6,6.86,-11.5164130939856
1.6,6.88,-9.91228583162649
1.6,6.9,-8.57282931766458
1.6,6.92,-7.44811056005705
1.6,6.94,-6.49913589023501
1.6,6.96,-5.69556823996215
1.6,6.98,-5.01340364401562
1.6,7,-4.43328279322446
1.6,7.02,-3.93934848349303
1.6,7.04,-3.51847345248062
1.6,7.06,-3.15972222742654
1.6,7.08,-2.85395831890239
1.6,7.1,-2.59354330781252
1.6,7.12,-2.37209687397879
1.6,7.14,-2.18430010982406
1.6,7.16,-2.02573187267628
1.6,7.18,-1.89273187013219
1.6,7.2,-1.78228620445042
2,4.8,-0.733141211522912
2,4.82,-0.754659185073499
2,4.84,-0.797314031128848
2,4.86,-0.858204477137182
2,4.88,-0.936391758081905
2,4.9,-1.03223903011699
2,4.92,-1.14710030206532
2,4.94,-1.2832004850446
2,4.96,-1.44363309862249
2,4.98,-1.63244298734772
2,5,-1.8547831003258
2,5.02,-2.11714805140908
2,5.04,-2.42769847407662
2,5.06,-2.79670308823258
2,5.08,-3.23714444627962
2,5.1,-3.7655670902026
2,5.12,-4.40330822377278
2,5.14,-5.17837236744488
2,5.16,-6.12846185535474
2,5.18,-7.30621227171526
2,5.2,-8.78887410547008
2,5.22,-10.6973101790257
2,5.24,-13.2334275684689
2,5.26,-16.7239262101846
2,5.28,-21.0688461783504
2,5.3,-21.2173439489709
2,5.32,-17.0174252017769
2,5.34,-13.6323713775199
2,5.36,-11.1969447294818
2,5.38,-9.37923517972999
2,5.4,-7.97339759436966
2,5.42,-6.85700385104256
2,5.44,-5.95284675794196
2,5.46,-5.20933351776702
2,5.48,-4.5903615450272
2,5.5,-4.06976938290896
2,5.52,-3.62809682765119
2,5.54,-3.25058266998057
2,5.56,-2.92586604449829
2,5.58,-2.6451098428824
2,5.6,-2.40138937528781
2,5.62,-2.18925428051036
2,5.64,-2.00440703830685
2,5.66,-1.8434616283879
2,5.68,-1.70375793886894
2,5.7,-1.5832150710366
2,5.72,-1.48021167205564
2,5.74,-1.39348495770432
2,5.76,-1.32204280362015
2,5.78,-1.26508554268934
2,5.8,-1.22193606358067
2,5.82,-1.19197846000205
2,5.84,-1.17460671716615
2,5.86,-1.16918557408015
2,5.88,-1.17502563201476
2,5.9,-1.19137397367037
2,5.92,-1.2174201708078
2,5.94,-1.25231591293134
2,5.96,-1.29520499538336
2,5.98,-1.34525943324341
2,6,-1.40171723605964
2,6.02,-1.46391789471951
2,6.04,-1.53133271358966
2,6.06,-1.6035884795351
2,6.08,-1.68048430041138
2,6.1,-1.76200254915301
2,6.12,-1.84831560597666
2,6.14,-1.93979049410808
2,6.16,-2.0369936185152
2,6.18,-2.14069773860331
2,6.2,-2.25189312789602
2,6.22,-2.37180466490094
2,6.24,-2.50191638856388
2,6.26,-2.64400482056001
2,6.28,-2.80018202607128
2,6.3,-2.9729487974244
2,6.32,-3.16525723533719
2,6.34,-3.3805799687479
2,6.36,-3.62297976403538
2,6.38,-3.89716781131299
2,6.4,-4.20853156076309
2,6.42,-4.5631055315378
2,6.44,-4.9674576442499
2,6.46,-5.42848496608633
2,6.48,-5.95318387140644
2,6.5,-6.54861118431828
2,6.52,-7.22247979476893
2,6.54,-7.98502360275064
2,6.56,-8.85268601754422
2,6.58,-9.85366912185988
2,6.6,-11.0346735354406
2,6.62,-12.4675180143265
2,6.64,-14.250687919544
2,6.66,-16.471587455111
2,6.68,-18.9173519072001
2,6.7,-20.0283974029654
2,6.72,-18.1772119893008
2,6.74,-15.2758522357699
2,6.76,-12.6973002082663
2,6.78,-10.5998433482752
2,6.8,-8.90248542345377
2,6.82,-7.51839159411502
2,6.84,-6.38133742707883
2,6.86,-5.44219999115548
2,6.88,-4.66365413462111
2,6.9,-4.01648598106779
2,6.92,-3.47730591201523
2,6.94,-3.02712881365274
2,6.96,-2.65044306831894
2,6.98,-2.33454905438934
2,7,-2.06905237526596
2,7.02,-1.84545541994391
2,7.04,-1.65681999619581
2,7.06,-1.49748685949183
2,7.08,-1.36284325077279
2,7.1,-1.24913154655375
2,7.12,-1.15329296160791
2,7.14,-1.07284080847199
2,7.16,-1.005758391723
2,7.18,-0.950417238708311
2,7.2,-0.905512007015183
2.4,4.8,-0.723520108707461
2.4,4.82,-0.740468825345212
2.4,4.84,-0.778481127789715
2.4,4.86,-0.834248699239328
2.4,4.88,-0.906523409573346
2.4,4.9,-0.995382981653778
2.4,4.92,-1.10187876588051
2.4,4.94,-1.22788768654534
2.4,4.96,-1.37608589552994
2.4,4.98,-1.55000674084344
2.4,5,-1.75416898846328
2.4,5.02,-1.99427525384647
2.4,5.04,-2.27749135528563
2.4,5.06,-2.6128285843178
2.4,5.08,-3.0116664297389
2.4,5.1,-3.48847877027567
2.4,5.12,-4.06187280488129
2.4,5.14,-4.75613974262462
2.4,5.16,-5.60369989531078
2.4,5.18,-6.64922004047444
2.4,5.2,-7.95707986547241
2.4,5.22,-9.6260333316207
2.4,5.24,-11.8203341193873
2.4,5.26,-14.8375815165026
2.4,5.28,-19.1738076674644
2.4,5.3,-23.3668962472847
2.4,5.32,-19.8359133087724
2.4,5.34,-15.4552414442057
2.4,5.36,-12.4301851879421
2.4,5.38,-10.2597009157631
2.4,5.4,-8.62381376974665
2.4,5.42,-7.34740172449793
