"Wo [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(1,1)) []"
11.2,5.04,-5.39473074452772,
11.2,5.06,-6.06366979136336,
11.2,5.08,-6.84810171435034,
11.2,5.1,-7.77401466438943,
11.2,5.12,-8.87458553337979,
11.2,5.14,-10.1912456297137,
11.2,5.16,-11.7702780064511,
11.2,5.18,-13.6379169326491,
11.2,5.2,-15.6875004469788,
11.2,5.22,-17.3317255003704,
11.2,5.24,-17.3992694476437,
11.2,5.26,-15.8210368317692,
11.2,5.28,-13.7654138050321,
11.2,5.3,-11.8746722022361,
11.2,5.32,-10.2767801131893,
11.2,5.34,-8.95100475347412,
11.2,5.36,-7.85269265550961,
11.2,5.38,-6.94141273378099,
11.2,5.4,-6.18513975135406,
11.2,5.42,-5.55938888397674,
11.2,5.44,-5.04567826265016,
11.2,5.46,-4.63021823542715,
11.2,5.48,-4.30291851362164,
11.2,5.5,-4.05663719937026,
11.2,5.52,-3.88657778734099,
11.2,5.54,-3.78975170641732,
11.2,5.56,-3.76443793152865,
11.2,5.58,-3.80958454404291,
11.2,5.6,-3.92411212531451,
11.2,6.4,,-6.1272809036913
11.2,6.42,,-6.67387606895299
11.2,6.44,,-7.34442141827903
11.2,6.46,,-8.17634673819824
11.2,6.48,,-9.22369822587059
11.2,6.5,,-10.5672563473008
11.2,6.52,,-12.3313650531693
11.2,6.54,,-14.7010443419269
11.2,6.56,,-17.8101998597693
11.2,6.58,,-20.3699134870498
11.2,6.6,,-18.4871680600622
11.2,6.62,,-14.7949489344783
11.2,6.64,,-11.7685250196968
11.2,6.66,,-9.45788736048603
11.2,6.68,,-7.67163908994639
11.2,6.7,,-6.26945296523097
11.2,6.72,,-5.15709455799229
11.2,6.74,,-4.26860552304093
11.2,6.76,,-3.55551821402441
11.2,6.78,,-2.98095425711386
11.2,6.8,,-2.5162777602571
11.2,6.82,,-2.13902853184824
11.2,6.84,,-1.8315158693805
11.2,6.86,,-1.57978436159029
11.2,6.88,,-1.37281705520524
11.2,6.9,,-1.20190874174407
11.2,6.92,,-1.06017048360676
11.2,6.94,,-0.942138642044917
11.2,6.96,,-0.843467645247156
11.2,6.98,,-0.760689534490567
11.2,7,,-0.691026330491586
11.2,7.02,,-0.63224385332234
11.2,7.04,,-0.582537874356213
11.2,7.06,,-0.540445379148006
11.2,7.08,,-0.504775286444632
11.2,7.1,,-0.474554230194278
11.2,7.12,,-0.448984009819769
11.2,7.14,,-0.427408094023
11.2,7.16,,-0.409285167207251
11.2,7.18,,-0.394168172438871
11.2,7.2,,-0.381687661419094
